GEOID,GEOG,WHITE,HISP,BLACK,ASIAN,OTHER,total_pops
14,Albany Park,0.33638392857142857,0.46008522727272727,0.05113636363636364,0.12538555194805195,0.027008928571428573,49280
57,Archer Heights,0.1471218502918791,0.7980492130348038,0.007684918347742555,0.045222788738638886,0.0019212295869356388,13533
34,Armour Square,0.13975330871574643,0.05588827103204182,0.08911041460177052,0.7066163110095792,0.008631694640861979,13438.844262499999
70,Ashburn,0.10069460631206005,0.4272761176635122,0.4504218917532982,0.00829798144608643,0.013309402825043122,42902
71,Auburn Gresham,0.010450126343740632,0.02991562807829029,0.945479463788599,0.0026553599725898324,0.011499421816780162,46698
25,Austin,0.052843604388206955,0.17050056272548464,0.7567974083073007,0.003355316441050561,0.016503108137957148,95073
45,Avalon Park,0.008336214223029423,0,0.9472734450393389,0.013442145434634945,0.030948195302996737,9596.682362
21,Avondale,0.3560224839400428,0.5392130620985011,0.02157387580299786,0.04470021413276231,0.03849036402569593,37360
19,Belmont Cragin,0.1430674722038889,0.7988906940143169,0.02444534700715845,0.02200842767934203,0.0115880590952937,78788
72,Beverly,0.5614371499217843,0.059494373517686834,0.33112983801786344,0.00978957460766009,0.0381490639350053,19817
60,Bridgeport,0.35391844725116783,0.20868130513723002,0.02237943982918805,0.40482702107832863,0.010193786704085333,32863.155736400004
58,Brighton Park,0.07402639955064595,0.7987736378955251,0.01355083317730762,0.10571522186856394,0.007933907507957312,42728
47,Burnside,0.02522935779816514,0.07155963302752294,0.8889908256880734,0,0.014220183486238533,2180
48,Calumet Heights,0.00874989872802398,0.043992546382565015,0.9343757595398201,6.481406465202949e-4,0.012233654703070567,12343
44,Chatham,0.00856815666223022,0.00863186042923565,0.9646444093119868,0.0024525950297090223,0.015702978566838287,31395.31764
66,Chicago Lawn,0.024335031126202604,0.5539683468961615,0.3974981948753976,0.004800655699315029,0.019397771402923328,51243
64,Clearing,0.3900418341399393,0.5691903863505865,0.02546960872774998,0.0059470100894102205,0.009351160692314002,24382
35,Douglas,0.10582750582750583,0.053706293706293706,0.651002331002331,0.1455011655011655,0.043962703962703964,21450
17,Dunning,0.5971505265331406,0.3213114001881295,0.020854842040057817,0.050634363456994055,0.010048867781678024,43587
27,East Garfield Park,0.05941908713692946,0.04774550484094053,0.848686030428769,0.008796680497925312,0.03535269709543568,18075
52,East Side,0.12872938075151302,0.8485701267563777,0.017771989535340732,0.003096345557710662,0.0018321573990580386,22923.794659559997
77,Edgewater,0.5351915901385174,0.15884347366806945,0.13257117543829758,0.13730768575468966,0.036086075000425946,58693
9,Edison Park,0.8272132339574623,0.09870932557716779,0.004181057989456462,0.02563170332666788,0.04426467914924559,11002
68,Englewood,0.011580907398156138,0.03932966983060084,0.920931922430628,0.005949407330033153,0.02220809301058177,22019
12,Forest Glen,0.7386089923725412,0.13182456844640705,0.005570052187876355,0.10226816539542352,0.021728221597751906,19928
37,Fuller Park,0.0502531276720577,0.065224900409231,0.8659772670897802,0.0046577649201691535,0.013886939908762067,2232.31325286
63,Gage Park,0.035694050991501414,0.9097167138810198,0.046713881019830025,0.007082152974504249,7.932011331444759e-4,35300
56,Garfield Ridge,0.4085550223307165,0.5278648506199894,0.04635357430164498,0.009930927348886238,0.007295625398762795,36049
38,Grand Boulevard,0.0412353711605898,0.03257425324263805,0.895686340783303,0.007266889179940006,0.023237145633529088,23669
69,Greater Grand Crossing,0.008732882530836929,0.02004825172448945,0.9558938462061232,9.854225423901594e-4,0.01433959699616025,29429
55,Hegewisch,0.3673468839706242,0.5624256402795641,0.06827940978068316,1.1026892908098465e-4,0.0018377970400474905,9250.205343437001
20,Hermosa,0.09890774079350688,0.8252816992617537,0.04515822648188922,0.02305400854811553,0.0075983249147347064,23163
23,Humboldt Park,0.09020054778404808,0.5544015735004871,0.3308578886417529,0.00529402033050863,0.01924596974320325,54401
41,Hyde Park,0.4696270110381646,0.0751388788687685,0.24431859173219825,0.1423418223793377,0.06857369598153092,27722
16,Irving Park,0.43998582195358554,0.41157376315200356,0.02734870532049847,0.08585180210432057,0.035239907469591825,53604
11,Jefferson Park,0.5821504743693462,0.2436566889755093,0.026255791718761492,0.11587114804736338,0.03206589688901964,27194
39,Kenwood,0.209158691297574,0.02247941241931894,0.660137992432673,0.060149120854662806,0.0480747829957712,17972
6,Lake View,0.7617226012540915,0.08973853373821825,0.04243404188192609,0.07045391805024254,0.03565090507552155,101428
7,Lincoln Park,0.7997498850045999,0.062514374425023,0.037890984360625574,0.07307957681692732,0.026765179392824287,69568
4,Lincoln Square,0.6430471584038694,0.17830713422007255,0.029842805320435307,0.09119709794437726,0.05760580411124547,41350
22,Logan Square,0.5163084596631826,0.3631574522935523,0.04529660660744809,0.04245243365931572,0.03278504777650125,71374
31,Lower West Side,0.2226677277179236,0.6827864838393731,0.03121939275220372,0.04517629774730656,0.018150097943192948,32672
59,McKinley Park,0.15413879050242688,0.5276138003410731,0.012068739341466614,0.29988193624557263,0.006296733569460842,15246
18,Montclare,0.3620497844527882,0.5564594632179113,0.03115004867195105,0.025378945904602976,0.024961757752746488,14382
75,Morgan Park,0.30402533695069994,0.044368895342951895,0.6140101403835615,0.004188113924559136,0.03340751339822753,20534.3029223
74,Mount Greenwood,0.8114118895966029,0.10483014861995754,0.03232484076433121,0.0160828025477707,0.03535031847133758,18840
8,Near North Side,0.6907289974320004,0.06086683087888475,0.06931502541795503,0.14550600073371417,0.033583145537445624,95405
33,Near South Side,0.5139520776463452,0.04185623293903549,0.22490142553836823,0.19070367000303307,0.028586593873218078,26376
28,Near West Side,0.4362264391237901,0.09989493122771269,0.24218352012226185,0.1850643148242486,0.036630794701986755,62816
61,New City,0.12357225665681883,0.6182795665651334,0.2311131034323472,0.018618706814462007,0.008416366531238622,38971.6867466
5,North Center,0.7471916330031543,0.11961153228930331,0.025538155055060595,0.05965358862265508,0.048005091029826794,36142
29,North Lawndale,0.047748323219418715,0.11207282018524434,0.8266049185563717,0.0022037687639731717,0.011370169274992015,31310
13,North Park,0.4874508135701372,0.18728065511007125,0.022386472402424758,0.26262894820801874,0.04025311070934808,18806
10,Norwood Park,0.7702219397053197,0.15338442306840794,0.006548201711239167,0.04388647638131805,0.025958959133715036,38408.191178400004
36,Oakland,0.044026961135809554,0.058367990821741,0.8666284239208375,0.01634877384196185,0.014627850279650079,6973
76,O'Hare,0.6745265232215338,0.08263624972741483,0.06608239477272948,0.15551378506643654,0.021241047211885303,13498.300161000001
15,Portage Park,0.47000109513603155,0.4251161626433455,0.016395750872197624,0.05943459691171639,0.02905239443670896,63919
50,Pullman,0.1201794979666246,0.04305146543261815,0.8038143317907727,7.011639321273314e-4,0.03225354087785724,7131
54,Riverdale,0.009711356892365795,0.03655246830321014,0.9537361748044241,0,0,7414
1,Rogers Park,0.4428948834534443,0.18936793487051382,0.27063601890624156,0.05423862839890013,0.0428625343709002,55643
49,Roseland,0.015344623072457916,0.013148928652550287,0.9530828054412841,0.002675213890921939,0.015748428942785754,39623
46,South Chicago,0.028588584581512495,0.2062247723254495,0.7527437702238383,0.003802915568602595,0.008639957300597124,29977
51,South Deering,0.049722662440570525,0.3096936080295827,0.6369519281563656,0,0.003631801373481247,15144
30,South Lawndale,0.05530006407062006,0.8079874706342991,0.12960774542606962,0.0037018580479817754,0.0034028618210294012,70235
43,South Shore,0.030223739097459235,0.025995449374288965,0.9267349260523322,0.0031285551763367463,0.013917330299582859,52740
32,The Loop,0.5897729295395021,0.0956340427695985,0.07079105957738958,0.2107203702291047,0.033081597884405116,39327
3,Uptown,0.5316973071165458,0.1498831009368745,0.18084873765831833,0.10382991606815467,0.03374093822010664,59453
73,Washington Heights,0.01674090571640683,0.014587973273942094,0.9547884187082405,0.001744617668893838,0.012138084632516704,26940
40,Washington Park,0.018317828713915796,0.02234583293372974,0.9167545794571785,0,0.042581758895175986,10427
62,West Elsdon,0.14706041138044593,0.8170382767370297,0.006748366895211359,0.027695297737947416,0.0014576472493656534,18523
67,West Englewood,0.015024084410123099,0.095878889823381,0.8690649132196651,7.645844483523206e-4,0.019267528098478478,26158
26,West Garfield Park,0.027654800169810177,0.03481108617866457,0.9241312390078233,1.8193947480138275e-4,0.013220935168900478,16489
65,West Lawn,0.11874261550898577,0.8508177352154717,0.02490516758908028,0.00226975934332442,0.0032647223431378648,32162
53,West Pullman,0.008797764688113578,0.06853194381513367,0.9020540703821175,0,0.02061622111463525,26484
2,West Ridge,0.4205401013166081,0.19697065881187867,0.11637443977502127,0.21020022091591228,0.05591457918057972,78763
24,West Town,0.6318912325165508,0.21012115541764867,0.06236602437320132,0.05392185890071888,0.04169972879188034,84437
42,Woodlawn,0.0816816282997067,0.028975202204248512,0.8225935472402454,0.03404141854057417,0.032708203715225315,22502
