GEOID,GEOG,WHITE,HISP,BLACK,ASIAN,OTHER,total_pops,,Black > .5,,Black < .5,
14,Albany Park,0.336383929,0.460085227,0.051136364,0.125385552,0.027008929,49280,,0,0,1,0.051136364
57,Archer Heights,0.14712185,0.798049213,0.007684918,0.045222789,0.00192123,13533,,0,0,1,0.007684918
34,Armour Square,0.139753309,0.055888271,0.089110415,0.706616311,0.008631695,13438.84426,,0,0,1,0.089110415
70,Ashburn,0.100694606,0.427276118,0.450421892,0.008297981,0.013309403,42902,,0,0,1,0.450421892
71,Auburn Gresham,0.010450126,0.029915628,0.945479464,0.00265536,0.011499422,46698,,1,0.945479464,0,0
25,Austin,0.052843604,0.170500563,0.756797408,0.003355316,0.016503108,95073,,1,0.756797408,0,0
45,Avalon Park,0.008336214,0,0.947273445,0.013442145,0.030948195,9596.682362,,1,0.947273445,0,0
21,Avondale,0.356022484,0.539213062,0.021573876,0.044700214,0.038490364,37360,,0,0,1,0.021573876
19,Belmont Cragin,0.143067472,0.798890694,0.024445347,0.022008428,0.011588059,78788,,0,0,1,0.024445347
72,Beverly,0.56143715,0.059494374,0.331129838,0.009789575,0.038149064,19817,,0,0,1,0.331129838
60,Bridgeport,0.353918447,0.208681305,0.02237944,0.404827021,0.010193787,32863.15574,,0,0,1,0.02237944
58,Brighton Park,0.0740264,0.798773638,0.013550833,0.105715222,0.007933908,42728,,0,0,1,0.013550833
47,Burnside,0.025229358,0.071559633,0.888990826,0,0.014220183,2180,,1,0.888990826,0,0
48,Calumet Heights,0.008749899,0.043992546,0.93437576,6.48E-04,0.012233655,12343,,1,0.93437576,0,0
44,Chatham,0.008568157,0.00863186,0.964644409,0.002452595,0.015702979,31395.31764,,1,0.964644409,0,0
66,Chicago Lawn,0.024335031,0.553968347,0.397498195,0.004800656,0.019397771,51243,,0,0,1,0.397498195
64,Clearing,0.390041834,0.569190386,0.025469609,0.00594701,0.009351161,24382,,0,0,1,0.025469609
35,Douglas,0.105827506,0.053706294,0.651002331,0.145501166,0.043962704,21450,,1,0.651002331,0,0
17,Dunning,0.597150527,0.3213114,0.020854842,0.050634363,0.010048868,43587,,0,0,1,0.020854842
27,East Garfield Park,0.059419087,0.047745505,0.84868603,0.00879668,0.035352697,18075,,1,0.84868603,0,0
52,East Side,0.128729381,0.848570127,0.01777199,0.003096346,0.001832157,22923.79466,,0,0,1,0.01777199
77,Edgewater,0.53519159,0.158843474,0.132571175,0.137307686,0.036086075,58693,,0,0,1,0.132571175
9,Edison Park,0.827213234,0.098709326,0.004181058,0.025631703,0.044264679,11002,,0,0,1,0.004181058
68,Englewood,0.011580907,0.03932967,0.920931922,0.005949407,0.022208093,22019,,1,0.920931922,0,0
12,Forest Glen,0.738608992,0.131824568,0.005570052,0.102268165,0.021728222,19928,,0,0,1,0.005570052
37,Fuller Park,0.050253128,0.0652249,0.865977267,0.004657765,0.01388694,2232.313253,,1,0.865977267,0,0
63,Gage Park,0.035694051,0.909716714,0.046713881,0.007082153,7.93E-04,35300,,0,0,1,0.046713881
56,Garfield Ridge,0.408555022,0.527864851,0.046353574,0.009930927,0.007295625,36049,,0,0,1,0.046353574
38,Grand Boulevard,0.041235371,0.032574253,0.895686341,0.007266889,0.023237146,23669,,1,0.895686341,0,0
69,Greater Grand Crossing,0.008732883,0.020048252,0.955893846,9.85E-04,0.014339597,29429,,1,0.955893846,0,0
55,Hegewisch,0.367346884,0.56242564,0.06827941,1.10E-04,0.001837797,9250.205343,,0,0,1,0.06827941
20,Hermosa,0.098907741,0.825281699,0.045158226,0.023054009,0.007598325,23163,,0,0,1,0.045158226
23,Humboldt Park,0.090200548,0.554401574,0.330857889,0.00529402,0.01924597,54401,,0,0,1,0.330857889
41,Hyde Park,0.469627011,0.075138879,0.244318592,0.142341822,0.068573696,27722,,0,0,1,0.244318592
16,Irving Park,0.439985822,0.411573763,0.027348705,0.085851802,0.035239907,53604,,0,0,1,0.027348705
11,Jefferson Park,0.582150474,0.243656689,0.026255792,0.115871148,0.032065897,27194,,0,0,1,0.026255792
39,Kenwood,0.209158691,0.022479412,0.660137992,0.060149121,0.048074783,17972,,1,0.660137992,0,0
6,Lake View,0.761722601,0.089738534,0.042434042,0.070453918,0.035650905,101428,,0,0,1,0.042434042
7,Lincoln Park,0.799749885,0.062514374,0.037890984,0.073079577,0.026765179,69568,,0,0,1,0.037890984
4,Lincoln Square,0.643047158,0.178307134,0.029842805,0.091197098,0.057605804,41350,,0,0,1,0.029842805
22,Logan Square,0.51630846,0.363157452,0.045296607,0.042452434,0.032785048,71374,,0,0,1,0.045296607
31,Lower West Side,0.222667728,0.682786484,0.031219393,0.045176298,0.018150098,32672,,0,0,1,0.031219393
59,McKinley Park,0.154138791,0.5276138,0.012068739,0.299881936,0.006296734,15246,,0,0,1,0.012068739
18,Montclare,0.362049784,0.556459463,0.031150049,0.025378946,0.024961758,14382,,0,0,1,0.031150049
75,Morgan Park,0.304025337,0.044368895,0.61401014,0.004188114,0.033407513,20534.30292,,1,0.61401014,0,0
74,Mount Greenwood,0.81141189,0.104830149,0.032324841,0.016082803,0.035350318,18840,,0,0,1,0.032324841
8,Near North Side,0.690728997,0.060866831,0.069315025,0.145506001,0.033583146,95405,,0,0,1,0.069315025
33,Near South Side,0.513952078,0.041856233,0.224901426,0.19070367,0.028586594,26376,,0,0,1,0.224901426
28,Near West Side,0.436226439,0.099894931,0.24218352,0.185064315,0.036630795,62816,,0,0,1,0.24218352
61,New City,0.123572257,0.618279567,0.231113103,0.018618707,0.008416367,38971.68675,,0,0,1,0.231113103
5,North Center,0.747191633,0.119611532,0.025538155,0.059653589,0.048005091,36142,,0,0,1,0.025538155
29,North Lawndale,0.047748323,0.11207282,0.826604919,0.002203769,0.011370169,31310,,1,0.826604919,0,0
13,North Park,0.487450814,0.187280655,0.022386472,0.262628948,0.040253111,18806,,0,0,1,0.022386472
10,Norwood Park,0.77022194,0.153384423,0.006548202,0.043886476,0.025958959,38408.19118,,0,0,1,0.006548202
36,Oakland,0.044026961,0.058367991,0.866628424,0.016348774,0.01462785,6973,,1,0.866628424,0,0
76,O'Hare,0.674526523,0.08263625,0.066082395,0.155513785,0.021241047,13498.30016,,0,0,1,0.066082395
15,Portage Park,0.470001095,0.425116163,0.016395751,0.059434597,0.029052394,63919,,0,0,1,0.016395751
50,Pullman,0.120179498,0.043051465,0.803814332,7.01E-04,0.032253541,7131,,1,0.803814332,0,0
54,Riverdale,0.009711357,0.036552468,0.953736175,0,0,7414,,1,0.953736175,0,0
1,Rogers Park,0.442894883,0.189367935,0.270636019,0.054238628,0.042862534,55643,,0,0,1,0.270636019
49,Roseland,0.015344623,0.013148929,0.953082805,0.002675214,0.015748429,39623,,1,0.953082805,0,0
46,South Chicago,0.028588585,0.206224772,0.75274377,0.003802916,0.008639957,29977,,1,0.75274377,0,0
51,South Deering,0.049722662,0.309693608,0.636951928,0,0.003631801,15144,,1,0.636951928,0,0
30,South Lawndale,0.055300064,0.807987471,0.129607745,0.003701858,0.003402862,70235,,0,0,1,0.129607745
43,South Shore,0.030223739,0.025995449,0.926734926,0.003128555,0.01391733,52740,,1,0.926734926,0,0
32,The Loop,0.58977293,0.095634043,0.07079106,0.21072037,0.033081598,39327,,0,0,1,0.07079106
3,Uptown,0.531697307,0.149883101,0.180848738,0.103829916,0.033740938,59453,,0,0,1,0.180848738
73,Washington Heights,0.016740906,0.014587973,0.954788419,0.001744618,0.012138085,26940,,1,0.954788419,0,0
40,Washington Park,0.018317829,0.022345833,0.916754579,0,0.042581759,10427,,1,0.916754579,0,0
62,West Elsdon,0.147060411,0.817038277,0.006748367,0.027695298,0.001457647,18523,,0,0,1,0.006748367
67,West Englewood,0.015024084,0.09587889,0.869064913,7.65E-04,0.019267528,26158,,1,0.869064913,0,0
26,West Garfield Park,0.0276548,0.034811086,0.924131239,1.82E-04,0.013220935,16489,,1,0.924131239,0,0
65,West Lawn,0.118742616,0.850817735,0.024905168,0.002269759,0.003264722,32162,,0,0,1,0.024905168
53,West Pullman,0.008797765,0.068531944,0.90205407,0,0.020616221,26484,,1,0.90205407,0,0
2,West Ridge,0.420540101,0.196970659,0.11637444,0.210200221,0.055914579,78763,,0,0,1,0.11637444
24,West Town,0.631891233,0.210121155,0.062366024,0.053921859,0.041699729,84437,,0,0,1,0.062366024
42,Woodlawn,0.081681628,0.028975202,0.822593547,0.034041419,0.032708204,22502,,1,0.822593547,0,0
,,,,,,,,,28,0.855698972,49,0.09142051